disease Names, X, Y, Z
Sleep Disorders,-191.80965,62.228115,-160.01828
Spinal Cord Diseases,44.34841,-99.05953,149.72044
Stereotypic Movement Disorder,-40.898808,25.434412,181.87866
"Stress Disorders, Traumatic",-111.21468,-1.1452848,152.12833
Sudden infant death syndrome,176.16464,-31.45532,81.66931
Syndrome,149.21387,15.912572,124.893234
"Syndrome, Bloch-Sulzberger",-17.72985,19.103241,-91.05237
Thyroid Diseases,-13.451126,-176.20662,11.746523
Van der Woude syndrome,-11.304312,175.59824,-24.756168
Virus Diseases,-35.098732,-159.79929,-114.262436
Williams Syndrome,-67.866936,60.096134,-38.80515
